lemma,surface_word,seed_node_count,source_node_ids,parts_of_speech,max_degree_score,best_frequency,earliest_age_of_acquisition,mean_concreteness
foot,foot,1,foot::n,n,208,4.811924470257303,3.44,4.9
south,south,2,south::a;south::n,a;n,277,4.808898015627115,6.06,3.84
hat,hat,1,hat::v,v,4,4.8069128172203825,3.33,4.88
board,board,1,board::v,v,10,4.806780147452464,6.37,4.57
north,north,2,north::a;north::n,a;n,316,4.804918502609604,6.55,4.14
beginning,beginning,1,beginning::n,n,169,4.799690013840291,5.4,2.5
doubt,doubt,1,doubt::n,n,25,4.797797660162586,8.79,1.79
fired,fired,1,fired::a,a,66,4.791521224762864,,2.48
chicken,chicken,1,chicken::n,n,71,4.790006802781004,3.26,4.8
bathroom,bathroom,1,bathroom::n,n,15,4.789592860431728,3.0,4.52
weekend,weekend,1,weekend::v,v,3,4.785849516901604,4.79,3.83
eating,eating,1,eating::n,n,146,4.783615917728626,,4.14
glass,glass,2,glass::n;glass::v,n;v,216,4.782775347501246,4.47,4.82
west,west,3,west::a;west::n;west::r,a;n;r,169,4.781652050445911,5.89,3.44
experience,experience,1,experience::v,v,17,4.781652050445911,8.95,1.8
wine,wine,1,wine::v,v,5,4.780243831047658,7.9,4.79
difficult,difficult,1,difficult::a,a,156,4.778831030576282,5.85,2.21
sea,sea,1,sea::n,n,390,4.776560946443122,4.74,4.79
flight,flight,2,flight::n;flight::v,n;v,119,4.775421439113354,7.47,3.9
favorite,favorite,1,favorite::v,v,5,4.773706552455123,5.72,2.71
wind,wind,1,wind::n,n,155,4.773133415477316,3.89,3.93
sleeping,sleeping,1,sleeping::a,a,6,4.772990012972495,,4.23
admit,admit,1,admit::v,v,29,4.77184108510161,7.56,2.32
within,within,1,within::r,r,348,4.771553377584031,7.649755000000002,2.81
low,low,2,low::r;low::v,r;v,22,4.771409452319448,4.7,3.34
bunch,bunch,1,bunch::v,v,5,4.769534070476591,4.89,3.5
blame,blame,1,blame::v,v,7,4.768810607903987,6.48,2.06
tea,tea,1,tea::n,n,101,4.767650555175778,5.47,4.69
hole,hole,1,hole::v,v,15,4.764590591461673,5.05,4.81
feelings,feelings,1,feelings::n,n,152,4.760033728217072,,
fit,fit,1,fit::n,n,54,4.759885933598698,5.74,2.7
wild,wild,1,wild::n,n,217,4.757811510430283,6.11,2.41
reach,reach,1,reach::v,v,32,4.7548307541725165,4.89,3.7
beach,beach,1,beach::v,v,3,4.752581683988657,4.8,4.79
lock,lock,1,lock::v,v,6,4.752130468901935,5.74,4.65
writing,writing,1,writing::n,n,279,4.747135913801536,4.772365000000001,3.7
teacher,teacher,1,teacher::n,n,59,4.745611001834902,4.55,4.52
river,river,1,river::n,n,513,4.74362057766875,4.9,4.89
aunt,aunt,1,aunt::n,n,13,4.741466792614535,3.8,4.17
raise,raise,1,raise::v,v,29,4.741466792614535,6.72,3.8
cross,cross,1,cross::a,a,14,4.740231245602228,4.74,4.44
queen,queen,1,queen::v,v,5,4.737438345418058,4.42,4.45
closed,closed,1,closed::a,a,102,4.732585842623646,,3.37
names,names,1,names::n,n,297,4.730692801565022,,
band,band,1,band::v,v,5,4.727200648757121,6.16,4.68
price,price,1,price::v,v,19,4.726881783484425,7.35,3.63
code,code,1,code::v,v,16,4.724803433018866,8.11,3.0
pressure,pressure,2,pressure::n;pressure::v,n;v,216,4.724803433018866,8.95,3.07
further,further,1,further::r,r,14,4.721747839908215,6.6799680000000015,1.88
aah,aah,1,aah::v,v,7,4.721424944367762,,
consider,consider,1,consider::v,v,59,4.719482513331393,9.33,1.68
copy,copy,1,copy::v,v,12,4.717857157834336,6.06,3.9
warm,warm,2,warm::r;warm::v,r;v,4,4.7167157787755265,4.65,3.56
complete,complete,1,complete::a,a,48,4.712944271937895,6.58,2.7
cup,cup,1,cup::v,v,4,4.712614761693025,3.57,5.0
ways,ways,1,ways::n,n,62,4.712449912770225,,2.0
witness,witness,1,witness::v,v,6,4.710466829498525,8.74,4.07
taste,taste,2,taste::n;taste::v,n;v,87,4.709803784359197,4.26,4.07
interest,interest,2,interest::n;interest::v,n;v,169,4.7066404216454725,7.37,1.8
